id,question_english,topic,category
DTR_GEN_SEL_SPC_04,"Traveling often leads to interesting, funny, or totally unexpected situations. Tell me about one unforgettable travel experience you had within your country. Start by mentioning when and where it took place and who accompanied you, then describe the events that made the trip so memorable.",국내여행,일반
EVA_RP_COM_Q11_01,"I'd like to give you a situation and ask you to act it out. I am an interviewer planning to visit your country next month. You want to show me around, but you need more details. Ask me three or four questions to learn more about my preferences and my upcoming trip.",우리나라 방문,롤플레이
EVA_RP_COM_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. I am arriving in your country today, and you were supposed to pick me up at the airport, but a sudden emergency came up. Leave a voicemail explaining why you can't make it, and give me two or three alternative ways to get from the airport to your house.",우리나라 방문,롤플레이
EVA_RP_COM_SPC_03,Tell me in detail about a specific moment when you discovered or realized something fascinating about your own country. You might have been watching a major sporting event or following a significant national news story. Describe the entire experience and your reaction from beginning to end.,우리나라 방문,롤플레이
FAM_ADV_COM_Q14_01,"Choose two close friends or family members and describe their personalities in detail. What specific traits do they have in common, and what are the major differences between the two of them?",가족/친구,어드밴스
FAM_ADV_COM_Q15_02,"Whenever you gather with your friends or family members, what kinds of interesting topics or current events usually dominate the conversation? Why are these subjects of such great concern to them, and how do they directly impact their daily lives? Please explain in as much detail as you can.",가족/친구,어드밴스
FAM_GEN_COM_CHILD_05,"Tell me about an early childhood memory of visiting a friend or relative's house. Who did you go to see, what was your first impression of their place, and what made the experience so memorable?",가족/친구,일반
FAM_GEN_COM_DESC_01,"Can you describe a close relative or a friend that you frequently spend time with? Who exactly is this person, and what kind of personality do they have?",가족/친구,일반
FAM_GEN_COM_DESC_02,"Tell me about the specific friends or relatives whose homes you enjoy visiting. How are you related to them, and what are their most defining traits?",가족/친구,일반
FAM_GEN_COM_RCT_06,Tell me about the last time you got together with your friends or family members. Was it for a special celebration or just a casual hangout? Tell me who was present and describe everything you did that day from beginning to end.,가족/친구,일반
FAM_GEN_COM_RTN_03,"When you gather with your friends or family members, what are your favorite group activities? Explain what you usually do and why you enjoy spending time that way.",가족/친구,일반
FAM_GEN_COM_RTN_04,"Tell me about your usual routine when visiting the homes of your friends or relatives. Do you normally share a meal, have long conversations, or do other activities together?",가족/친구,일반
FAM_GEN_COM_SPC_07,"Could you tell me about a special occasion or a major holiday you celebrated with your close friends or family? Tell me about the entire event from beginning to end, describing the activities and how you spent the day together.",가족/친구,일반
FAM_GEN_COM_SPC_08,"Talk about a memorable time when you went to visit a friend or a relative's house. What kinds of activities did you do together, and what made that particular hangout so special? Tell me everything from beginning to end.",가족/친구,일반
FOD_ADV_COM_Q14_01,How has grocery shopping changed over the last twenty years? What are some of the biggest trends or shifts you have noticed when comparing how people buy food today versus how they shopped in the past?,음식,어드밴스
FOD_ADV_COM_Q15_02,"There have been numerous news reports lately about food contamination or products containing dangerous bacteria. Tell me about a specific food safety scare you have recently heard or read about, and explain how the public reacted to the news.",음식,어드밴스
FOD_GEN_COM_CHILD_05,"Tell me about how you first became interested in eating a healthy diet. Did you grow up in a family that prioritized healthy food, or did you learn about it from a friend? Describe in detail what motivated you to start eating healthy.",음식,일반
FOD_GEN_COM_CHILD_06,Tell me about a fond memory you have of a special food or dish from your childhood. Where and when did you usually eat this? Please describe the food in detail and explain what made the experience so unforgettable.,음식,일반
FOD_GEN_COM_CMP_04,"A lot of people are trying to maintain a healthy diet these days. What types of food are considered healthy in your country, and why are those specific ingredients so good for our bodies?",음식,일반
FOD_GEN_COM_DESC_01,"What are the most common traditional foods in your country? Which specific dishes are highly favored by the locals, and what makes them so popular?",음식,일반
FOD_GEN_COM_RCT_07,"When was the last time you had a really healthy meal? Who were you dining with, what nutritious ingredients did you eat, and how did that specific experience make you feel overall?",음식,일반
FOD_GEN_COM_RTN_02,How do you usually go about shopping for healthy ingredients? Describe the specific steps and preparations you take when cooking a healthy meal at home.,음식,일반
FOD_GEN_COM_RTN_03,"Tell me about your daily eating habits. What types of food do you regularly consume, and where do you typically have your meals?",음식,일반
FOD_GEN_COM_SPC_08,"Tell me about a memorable experience you had while having a meal, whether it was exceptionally good or completely disastrous. What exactly happened during that time, and what made the incident so unforgettable? Please describe everything in as much detail as possible.",음식,일반
FOD_GEN_COM_SPC_09,"Sometimes our dining plans don't work out as expected, like a restaurant losing a reservation or a delivery arriving with missing items. Tell me a story about a time when a meal plan went wrong for you. Explain the issue and detail the steps you took to resolve the situation from beginning to end.",음식,일반
FRA_RP_COM_Q11_01,"I'd like to give you a situation and ask you to act it out. You want to hang out with a friend this weekend. Call your friend and ask three or four questions to figure out the exact time, location, and what you guys should do when you meet up.",친구약속,롤플레이
FRA_RP_COM_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. You just realized that you won't be able to meet your friend at the agreed-upon time and place. Call your friend, explain the mix-up, and give two or three alternatives to reschedule the meetup.",친구약속,롤플레이
FRA_RP_COM_SPC_03,"That's the end of the situation. Can you recall a time when you had free time and made plans, but they got ruined by bad weather or urgent chores? How did you handle the disappointment when things didn't turn out as you expected?",친구약속,롤플레이
FRN_GEN_COM_CHILD_03,"Tell me about the furniture you grew up with in your childhood home. How was it different from the pieces you own today? Describe what the interior of your house looked like back then in as much detail as possible, focusing on any changes in style or functionality.",가구,일반
FRN_GEN_COM_DESC_01,Tell me about the various pieces of furniture you currently have in your home. Do you have a specific item that is your absolute favorite? Please describe what it looks like and why you like it so much.,가구,일반
FRN_GEN_COM_RTN_02,Tell me about your daily routine involving the furniture in your house. What kind of activities do you usually do using your furniture from morning until night?,가구,일반
FRN_GEN_COM_SPC_04,"Sometimes, unexpected issues arise with our home furniture, such as broken parts or stained fabric. Tell me about a specific time when you experienced a problem with a piece of furniture. Describe exactly what went wrong and explain how you managed to fix or resolve the situation.",가구,일반
FRN_RP_COM_Q11_01,"I'd like to give you a situation and ask you to act it out. You are at a store looking to purchase some new furniture for your house. You spot an item you really like, but you need more details. Approach a salesperson and ask three or four questions to get all the information you need before making a decision.",가구,롤플레이
FRN_RP_COM_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. Your newly purchased furniture was just delivered, but you notice a serious defect. Call the furniture store, describe the exact problem in detail, and suggest two or three ways to resolve the issue as quickly as possible.",가구,롤플레이
FRN_RP_COM_Q12_03,"I'm sorry, but there is a problem which I'll need you to resolve. After placing your new furniture in your house, you realize you really don't like how it looks. Call the store, explain why you are dissatisfied with the item, and propose a couple of solutions, such as a return or an exchange.",가구,롤플레이
FRN_RP_COM_SPC_04,"That's the end of the situation. Have you ever purchased a piece of furniture that completely failed to meet your expectations? For example, the color might have been off, or it was too big for your room. Tell me about a time when you encountered a problem with a newly bought furniture item.",가구,롤플레이
FRN_RP_COM_SPC_05,That's the end of the situation. Have you ever found yourself in a similar spot? Have you ever bought a product for your house or yourself that ended up being a huge disappointment or defective? Tell me everything about what went wrong and how you managed to fix the problem.,가구,롤플레이
FRT_GEN_COM_CMP_03,Do you have more or less free time now compared to when you were younger? Describe for me how the amount of your leisure time and your hobbies have changed over the years.,자유시간,일반
FRT_GEN_COM_DESC_01,"Tell me about the popular leisure destinations where locals enjoy spending their time off. Do they prefer hanging out at urban parks, coastal areas, or entertainment venues?",자유시간,일반
FRT_GEN_COM_RCT_04,"Tell me about the last time you had some free time. What kind of memorable leisure activity did you engage in, and who did you spend those relaxing hours with? Tell me everything that made that day special.",자유시간,일반
FRT_GEN_COM_RTN_02,What do people in your country usually do to relax during their free time? Describe some of the most popular hobbies and pastimes they engage in.,자유시간,일반
FSH_GEN_COM_CMP_04,"Fashion trends are constantly changing. Tell me about the types of clothing that were considered trendy when you were a teenager. What did those outfits look like, and how were those styles different from the fashion we see today?",패션,일반
FSH_GEN_COM_DESC_01,What are the common fashion trends among the people in your country? Is there a noticeable difference between professional attire and casual weekend outfits? Tell me about their everyday clothing choices.,패션,일반
FSH_GEN_COM_DESC_02,"What specific types of garments do you personally prefer to wear? Describe the outfit you have on right now, and explain what your overall fashion sense is like.",패션,일반
FSH_GEN_COM_RCT_05,"Tell me about the last time you went shopping for a new piece of clothing. Which store did you visit, and what exact items did you end up buying? Give me all the details of the story, including any issues you had finding the right fit.",패션,일반
FSH_GEN_COM_RTN_03,"Tell me about your fashion shopping habits. Where do you typically go to buy new clothes, and what is your usual process for choosing items to purchase?",패션,일반
FVA_RP_SEL_Q11_01,I'd like to give you a situation and ask you to act it out. Your friend has recently returned from a long vacation in the United States. Call them up and ask three or four questions to hear all about their travel experiences and what they did there.,친구휴가,롤플레이
FVA_RP_SEL_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. Your friend invited you over tonight to look at their recent vacation photos, but you already have another commitment. Call your friend, explain why you can't make it this evening, and offer a couple of alternative times to meet up.",친구휴가,롤플레이
FVA_RP_SEL_SPC_03,"That's the end of the situation. Tell me about a highly memorable trip you have taken in the past. When did it take place, and what was your destination? Tell me everything you did during the vacation, focusing on the moments that made it truly special.",친구휴가,롤플레이
GEO_ADV_COM_Q14_01,"Think about a neighboring country that is geographically close to yours. In what significant ways has this nation changed over the years? Have there been major shifts in its economy, culture, or politics? Describe this country and its evolution in detail.",지형,어드밴스
GEO_ADV_COM_Q14_02,"Tell me in detail about the recent changes you have observed regarding the relationship between your country and neighboring nations. These shifts could be related to economics, trade, culture, or politics. Please describe these developments in detail.",지형,어드밴스
GEO_ADV_COM_Q15_03,Tell me in detail about a recent news story you've heard involving a country geographically close to yours. What exactly was the report about? Give me as much detail as you can and explain why this particular event is so significant.,지형,어드밴스
GEO_ADV_COM_Q15_04,"I'd like you to think about a specific historic event that deeply affected the relationship between your country and a neighboring nation. It could be a major political treaty, a cultural exchange, or a presidential visit. Tell me the full story of what happened in detail.",지형,어드밴스
GEO_GEN_COM_CHILD_06,Describe an early memory you have involving your country's geography. Perhaps you visited a unique landform or a famous natural landmark with your family. Describe exactly what the scenery looked like and how you felt when you saw it.,지형,일반
GEO_GEN_COM_CHILD_07,I'd like you to pick a favorite geographical location or nature spot in your country from your childhood. Describe the landscape for me in detail. What are your fondest memories of visiting that place when you were young?,지형,일반
GEO_GEN_COM_CMP_05,"How has the overall landscape of your country changed over the past decade? Pick one specific area, such as urban development or the local environment, and explain in detail how it looks different now compared to ten years ago.",지형,일반
GEO_GEN_COM_DESC_01,"Describe the overall geographic features of your country. Does the landscape consist mostly of mountainous areas, coastlines, or rivers? What is the natural environment generally like?",지형,일반
GEO_GEN_COM_DESC_02,"Tell me about a neighboring nation that borders your country. Describe its physical landscape, the characteristics of its citizens, and a few of its well-known cultural customs.",지형,일반
GEO_GEN_COM_RTN_03,"Tell me about the popular outdoor activities people enjoy in your country due to its geographical features. Do they usually go hiking, cycling, or swimming in nature?",지형,일반
GEO_GEN_COM_RTN_04,Please tell me about how people in your country typically spend their free time. What are some of the most common hobbies or leisure activities they engage in?,지형,일반
GEO_GEN_COM_SPC_08,"People often have moving or deeply memorable experiences when exploring nature. For example, you might have hiked up a steep mountain or visited a stunning coastline. Tell me the story of a memorable time you had while visiting a beautiful geographical landmark in your country.",지형,일반
GRC_RP_COM_Q11_01,I'd like to give you a situation and ask you to act it out. Your friend recently told you about a fantastic new grocery store in town. Call your friend and ask three or four questions to find out more details about this food market.,식료품점,롤플레이
GRC_RP_COM_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. You just visited a new grocery store in your neighborhood, but when you got home, you realized the cashier forgot to bag some of your items. Call the store, explain the missing groceries, and make a few suggestions to solve the problem.",식료품점,롤플레이
GRC_RP_COM_SPC_03,Tell me about the time you first discovered your favorite grocery store. Where is it situated and what initially drew you to it? What specific food items do you normally purchase there? Give me all the details about this local market.,식료품점,롤플레이
GTH_ADV_COM_Q14_01,How have traditional celebrations and social gatherings in your country changed since you were a child? Do people host these events more often now than before? What sorts of gatherings are much more popular today compared to the past?,모임,어드밴스
GTH_ADV_COM_Q14_02,Gatherings and celebrations in small rural towns are often quite different from those held in bustling big cities. Tell me about some of the core similarities and major differences between how people celebrate in small towns versus big cities in your country.,모임,어드밴스
GTH_ADV_COM_Q15_03,"Hosting major community celebrations or gatherings requires a lot of hard work, organization, and funding. Have there been public discussions regarding the difficulties of putting on these sorts of events in your area? Tell me about one specific festival and what people said about the challenges of organizing it.",모임,어드밴스
GTH_ADV_COM_Q15_04,"What kinds of concerns or complaints do you typically hear when large gatherings or festivals are held in your neighborhood? For example, do residents get upset about severe traffic jams, lack of parking, loud noise, or littering? Explain what the locals usually say about these events.",모임,어드밴스
GTH_GEN_COM_DESC_01,Tell me about the various community events or celebrations that take place in your neighborhood. What kind of activities do people usually do during these occasions?,모임,일반
GTH_GEN_COM_DESC_02,"Where do people in your community typically host their parties or festive gatherings? Are they usually held at a private house, a local park, or another venue? Tell me about these locations in detail.",모임,일반
GTH_GEN_COM_RCT_04,"Tell me about the last holiday party or social gathering that you attended. What was the special occasion, who did you go with, and what kind of activities did you do there from beginning to end?",모임,일반
GTH_GEN_COM_RTN_03,"Choose a major holiday celebrated in your country and tell me about the typical traditions. Where do people usually gather, who do they spend their time with, and what kind of activities do they enjoy?",모임,일반
GTH_GEN_COM_SPC_05,"Tell me about a community event or a celebration that took place in your neighborhood. Describe the venue, the people who attended, and the main reason for the gathering. Explain what happened throughout the event from beginning to end.",모임,일반
GTH_GEN_COM_SPC_06,"Sometimes, unexpected incidents can occur when people get together for a celebration. Tell me all about a surprising event that happened at a local gathering in your area. Describe the entire situation from beginning to end.",모임,일반
GTH_GEN_COM_SPC_07,"Tell me about a time when you helped organize a party or a special event. Perhaps you took care of inviting guests, setting up decorations, or preparing the food. Describe your experience of hosting or helping out in detail.",모임,일반
GTH_GEN_COM_SPC_08,"Tell me about a memorable gathering or local festival that took place in your community. Describe the location of the event, the people who attended, and the main reason for celebrating. Explain how the event unfolded from start to finish.",모임,일반
GTR_RP_COM_Q11_01,I'd like to give you a situation and ask you to act it out. You are planning to visit a friend who currently lives overseas. Call your friend and ask three or four questions specifically about the geographical features and landscapes of their country.,지형(여행),롤플레이
GTR_RP_COM_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. Just one day before your planned trip, a sudden issue arises and you realize you cannot make it. Call your friend to explain why you have to cancel the visit, and suggest two or three alternative dates for the future.",지형(여행),롤플레이
GTR_RP_COM_SPC_03,"That's the end of the situation. Have you ever traveled to another country or region where the natural geography was completely different from your hometown? Tell me about that trip. Where exactly did you visit, what did the landscape look like, and what made the environment feel so unique?",지형(여행),롤플레이
GYM_RP_COM_Q11_01,I'd like to give you a situation and ask you to act it out. You recently heard about a brand new gym opening up in your neighborhood and want to see what they offer. Call the gym and ask three or four questions to learn more about their facilities and memberships.,헬스클럽,롤플레이
GYM_RP_COM_Q11_02,I'd like to give you a situation and ask you to act it out. You are looking to join a new fitness center to get in shape. Call the gym and ask three or four questions to find out more about their workout programs and monthly fees.,헬스클럽,롤플레이
GYM_RP_COM_Q12_03,"I'm sorry, but there is a problem which I'll need you to resolve. You scheduled an appointment with the gym's trainers and nutritionists, but you wake up feeling terribly ill. Call the gym, explain your condition, and offer two or three possible alternatives for a new appointment.",헬스클럽,롤플레이
GYM_RP_COM_Q12_04,"I'm sorry, but there is a problem which I'll need you to resolve. Upon your first visit to the new gym, you find that the facilities are completely different from what you expected. Call the gym manager, describe your disappointment in detail, and make arrangements to get a full refund.",헬스클럽,롤플레이
GYM_RP_COM_SPC_05,"That's the end of the situation. Describe a specific time when you took action to improve your health. It might have been starting a strict diet, joining a gym, or trying out a new sport. Describe the entire process in detail from beginning to end.",헬스클럽,롤플레이
GYM_RP_COM_SPC_06,"That's the end of the situation. Tell me in detail about a major health-related challenge you once faced. What specific steps did you take to overcome it? Whether it was quitting a bad habit or sticking to a tough diet, tell me everything you did.",헬스클럽,롤플레이
HFD_RP_COM_Q11_01,I'd like to give you a situation and ask you to act it out. A brand new health food store just opened up in your town. Call the store and ask three or four questions to learn more about the organic products they carry.,건강식품,롤플레이
HFD_RP_COM_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. After purchasing some health food items at the store, you discover that one of them has gone bad or is expired. Call the store, explain the problem in detail, and propose a solution like a refund or replacement.",건강식품,롤플레이
