id,question_id,survey_type,topic_category,topic,question_title,question_english,question_korean,answer_type,audio_url,audio_generated_at,audio_voice
11,SEL_SHO_N_C3_01,선택형,일반,쇼핑,자주 가는 쇼핑몰이나 상점 특징 설명하기,You indicated in the survey that you go shopping. Tell me about the stores or shopping centers in your country. What are these places like?,"평소에 쇼핑을 한다고 하셨는데, 우리나라의 쇼핑몰이나 마트 같은 곳에 대해 설명해 주세요. 그런 곳들은 어떤 분위기인지 이야기해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_SHO_N_C3_01.wav,2025-10-01 14:36:29.942+00,Aoede
12,SEL_SHO_N_C3_02,선택형,일반,쇼핑,"쇼핑에 대한 관심과 자주 가는 장소, 동행자 설명하기","You indicated in the survey that you go shopping. I'd like to know more about your interest in shopping. For example, where do you go? Who do you shop with and why?","쇼핑을 즐긴다고 하셨는데, 어디서 주로 쇼핑을 하시는지, 누구와 함께 가는지, 그리고 그 이유도 말씀해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_SHO_N_C3_02.wav,2025-10-01 14:41:26.557+00,Aoede
13,SEL_SHO_N_C3_03,선택형,일반,쇼핑,특정 장소에서 쇼핑하며 주로 사는 물건과 이유 설명하기,Where do you go when you go shopping for something? What do you buy when you go there? What is special about that place?,"특정 물건을 사러 갈 때는 어디로 가시나요? 거기서는 어떤 걸 주로 사고, 그곳만의 특별한 점이 있다면 무엇인지 이야기해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_SHO_N_C3_03.wav,2025-10-01 14:41:38.626+00,Aoede
14,SEL_SHO_N_C3_04,선택형,일반,쇼핑,쇼핑하는 날의 일과를 순서대로 설명하기,Describe a typical shopping day for you. Tell me everything you do from the moment you leave home until you return.,"본인의 전형적인 쇼핑 하루를 예로 들어, 집에서 나와서 다시 돌아오기까지 어떤 일들을 하는지 순서대로 모두 이야기해 주세요.",routine,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_SHO_N_C3_04.wav,2025-10-01 14:41:48.843+00,Aoede
15,SEL_SHO_N_C3_05,선택형,일반,쇼핑,쇼핑을 좋아하게 된 계기와 어릴 적 경험 설명하기,"Tell me about your early memories of shopping and how you came to enjoy it so much. You might include information about where and when you used to shop, the people you went shopping with, what kinds of things you used to do while shopping or anything else that would give a clear picture of that experience.","어릴 때 쇼핑했던 기억이나 그때부터 쇼핑을 좋아하게 된 계기에 대해 말씀해 주세요. 어디서, 언제, 누구와 쇼핑을 했는지, 또 그때 어떤 재미난 일이나 인상 깊었던 경험이 있었는지도 함께 이야기해 주세요.",past_experience_childhood,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_SHO_N_C3_05.wav,2025-10-01 14:42:11.938+00,Aoede
16,SEL_SHO_N_C3_06,선택형,일반,쇼핑,어릴 적 기억나는 시장/상점 묘사하기,Think about your early memories of shopping. Is there a store or a market that you remember from your childhood? Describe this place for me. What did it look like? What was your impression of the place?,"어릴 때 쇼핑했던 기억을 떠올려 보세요. 어린 시절 기억에 남는 가게나 시장이 있다면, 그곳에 대해 묘사해 주세요. 어떤 곳이었고, 분위기나 인상은 어땠나요?",past_experience_childhood,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_SHO_N_C3_06.wav,2025-10-01 14:42:47.337+00,Aoede
17,SEL_SHO_N_C3_07,선택형,일반,쇼핑,기억에 남는 쇼핑 경험 전체 상황 설명하기,"Sometimes, funny or unexpected things happen while shopping. Tell me the story of a memorable shopping experience you had. Maybe you saw a friend at a store, maybe the item you bought was broken or did not work. Tell me in detail about a shopping trip that you still remember for some reason.","쇼핑을 하다 보면 재미있거나 예상치 못한 일이 생기기도 하죠. 특별히 기억에 남는 쇼핑 경험이 있다면 이야기해 주세요. 예를 들어, 가게에서 친구를 우연히 만났다든지, 산 물건이 고장이 났다든지, 그런 일이 있다면 자세히 말씀해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_SHO_N_C3_07.wav,2025-10-01 14:43:06.867+00,Aoede
18,SEL_SHO_N_C3_08,선택형,일반,쇼핑,쇼핑 중 겪었던 특별한 경험 전체 설명하기,"You have probably had many interesting experiences while shopping, some good, some funny, some problematic. Tell me about one particular shopping experience with as much detail as possible, where you were, what happened, how it happened, what you and/or others did, and how it all turned out.","쇼핑을 하면서 재미있었던 일, 당황스러웠던 일, 혹은 곤란했던 일 등 여러 가지 경험이 있을 텐데요. 그 중에서 한 가지를 골라, 어디에서 어떤 일이 있었고, 어떻게 해결했는지 최대한 자세히 말씀해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_SHO_N_C3_08.wav,2025-10-01 14:43:58.927+00,Aoede
19,SEL_MOV_N_C3_01,선택형,일반,영화,영화 취향과 함께 보는 사람 말하기,You indicated in the survey that you go to movies with adults. Tell me about the kinds of movies that you like to see.,"설문에서 어른과 함께 영화를 보러 간다고 하셨는데, 주로 어떤 영화를 보는지 말씀해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_MOV_N_C3_01.wav,2025-10-01 14:44:07.942+00,Aoede
20,SEL_MOV_N_C3_02,선택형,일반,영화,영화 보기 전후에 하는 행동 말하기,Tell me what you usually do when you go to see movies. Who do you like to go with? What do you do before and after the movie?,영화를 보러 갈 때 보통 무엇을 하나요? 누구와 함께 가는 걸 좋아하시나요? 영화 보기 전이나 후에는 어떤 일을 하시나요?,routine,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_MOV_N_C3_02.wav,2025-10-01 14:44:20.299+00,Aoede
21,SEL_MOV_N_C3_03,선택형,일반,영화,최근 영화 본 경험 전체 상황 설명하기,"I would like to know about the last time you went to the movies. Tell me everything that happened that day, including all the things you did before and after the movie.","최근에 영화를 보러 갔던 날에 대해 이야기해 주세요. 영화 보기 전과 후에 했던 일도 모두 포함해서, 그날 하루를 상세히 말씀해 주세요.",past_experience_recent,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_MOV_N_C3_03.wav,2025-10-01 14:53:28.429+00,Aoede
22,SEL_MOV_N_C3_04,선택형,일반,영화,"기억에 남는 영화, 추천 여부 포함 설명하기",What was a memorable movie you watched in the past? What was it about? What was special about that movie? Would you recommend that movie to other people?,"예전에 봤던 영화 중에서 기억에 남는 영화 한 편에 대해 이야기해 주세요. 그 영화는 어떤 내용이었고, 어떤 점이 특별했나요? 다른 사람에게 추천하고 싶은 이유가 있다면 그것도 말씀해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_MOV_N_C3_04.wav,2025-10-01 14:53:43.645+00,Aoede
23,SEL_MOV_N_C3_05,선택형,일반,영화,좋아하는 배우의 특별한 사건 설명하기,"Who is one of your favorite actors? Tell me a specific story about something this actor did that you heard about in the news. Begin the story with some details about the actor or the actress and then tell me all the details of what happened, especially things that made this incident so interesting to movie fans.","가장 좋아하는 배우 한 명을 골라서, 그 배우가 뉴스에 나왔던 흥미로운 일화나 사건을 이야기해 주세요. 배우에 대한 간단한 소개와 함께, 그 일이 왜 영화 팬들에게 인상 깊었는지 구체적으로 설명해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_MOV_N_C3_05.wav,2025-10-01 14:54:04.892+00,Aoede
24,SEL_MUS_N_C2_01,선택형,일반,음악,선호하는 음악 장르와 아티스트 말하기,You indicated in the survey that you listen to music. What kinds of music do you listen to? Who are some of your favorite musicians and/or composers?,"설문에서 평소 음악을 듣는다고 하셨는데, 주로 어떤 장르의 음악을 듣는지, 좋아하는 가수나 작곡가가 있다면 함께 말씀해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_MUS_N_C2_01.wav,2025-10-01 14:54:16.515+00,Aoede
25,SEL_MUS_N_C2_02,선택형,일반,음악,"음악 듣는 장소, 방법, 활동 말하기",When and where do you usually go to listen to music? Do you listen to radio? Do you go to concerts? Tell me about the different ways you enjoy music.,"음악을 들을 때는 주로 언제, 어디서 듣나요? 라디오를 듣거나 콘서트에 가는지 등, 여러 가지 음악 감상 방법에 대해 이야기해 주세요.",routine,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_MUS_N_C2_02.wav,2025-10-01 14:54:33.07+00,Aoede
26,SEL_MUS_N_C2_03,선택형,일반,음악,음악에 흥미 갖게 된 계기와 변화 설명하기,When did you first become interested in music? What kinds of music did you like first? Tell me how your interest in music developed from your childhood until today.,"처음 음악에 관심을 갖게 된 계기와, 처음에 좋아했던 음악 장르나 스타일이 무엇이었는지, 그리고 그 이후로 관심이 어떻게 발전했는지 말씀해 주세요.",comparison,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_MUS_N_C2_03.wav,2025-10-01 14:54:46.4+00,Aoede
27,SEL_MUS_N_C2_04,선택형,일반,음악,기억에 남는 라이브 공연 경험 자세히 설명하기,Could you think back to a particularly memorable time when you heard live music? Describe that experience in detail. What was it? Where were you? Who were you with? Who did you hear? What happened? And what happened that made that performance so memorable or special?,"특히 기억에 남는 라이브 음악 공연이 있다면, 그 경험을 구체적으로 이야기해 주세요. 어떤 공연이었고, 어디서 누구와 들었는지, 그 공연이 왜 특별했는지 말씀해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_MUS_N_C2_04.wav,2025-10-01 15:25:30.763+00,Aoede
28,SEL_HOM_N6_01,선택형,일반,집,현재 집 구조 및 방 개수 등 묘사하기,I would like to now talk about where you live. Can you describe your home to me? What does it look like? How many rooms does it have? Give me a description with lots of details.,"이제 살고 있는 집에 대해 이야기해 볼게요. 본인의 집을 묘사해 주세요. 집은 어떻게 생겼고, 방은 몇 개인가요? 가능한 한 자세하게 설명해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_HOM_N6_01.wav,2025-10-01 14:56:41.713+00,Aoede
29,SEL_HOM_N6_02,선택형,일반,집,현재 집에서 좋아하는 방 묘사하기,I would like to now talk about where you live. Tell me about where you live. Tell me about your favorite room in your home. What does it look like?,"지금 살고 있는 집에 대해 이야기해 주세요. 집에서 가장 좋아하는 방은 어디인지, 그 방이 어떤지 설명해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_HOM_N6_02.wav,2025-10-01 14:57:14.102+00,Aoede
30,SEL_HOM_N6_03,선택형,일반,집,평일/주말 집에서 하는 일 루틴 말하기,What is your normal routine at home? What do you usually do during the weekdays? What kinds of things do you do on the weekend?,"집에서의 전형적인 일상에 대해 이야기해 주세요. 평일에는 주로 무엇을 하고, 주말에는 어떤 일을 하는지 말씀해 주세요.",routine,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_HOM_N6_03.wav,2025-10-01 14:57:26.487+00,Aoede
31,SEL_HOM_N6_04,선택형,일반,집,집안일로 하는 일들 말하기,Tell me what you do to keep your home clean and comfortable. What kinds of housework do you do around your home?,집을 깨끗하고 편안하게 유지하기 위해 평소에 어떤 집안일을 하시나요? 주로 맡아서 하는 일들이 있다면 말씀해 주세요.,routine,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_HOM_N6_04.wav,2025-10-01 14:57:39.828+00,Aoede
32,SEL_HOM_N6_05,선택형,일반,집,어릴 적 집과 지금 집 비교하기,Describe the home you lived in as a child. How was that home different from the home you live in now?,어릴 때 살던 집을 묘사해 주세요. 지금 살고 있는 집과는 어떤 점이 달랐나요?,comparison,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_HOM_N6_05.wav,2025-10-01 14:58:03.63+00,Aoede
33,SEL_HOM_N6_06,선택형,일반,집,어린 시절 살던 집과 동네 변화 설명하기,Tell me about a house or apartment where you grew up. What did your home and the surrounding area look like when you were young? How has it changed?,"어렸을 때 자랐던 집이나 아파트에 대해 이야기해 주세요. 집과 주변 동네는 어떤 모습이었고, 지금은 어떻게 달라졌나요?",comparison,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_HOM_N6_06.wav,2025-10-01 14:58:27.469+00,Aoede
34,SEL_HOM_N6_07,선택형,일반,집,집에서 생긴 문제 상황 설명하기,"There are always problems which happen in any home. Things break, projects do not go as planned, or people you live with don't cooperate. Tell me about some problems or issues that have happened in your home.","집에서 생활하다 보면 문제가 생기기도 하죠. 물건이 고장나거나 계획대로 일이 안 되거나, 가족끼리 의견이 맞지 않을 때 등, 집에서 겪었던 문제 중 한 가지를 말씀해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_HOM_N6_07.wav,2025-10-01 14:58:44.174+00,Aoede
35,SEL_HOM_N6_08,선택형,일반,집,집안 인테리어 변경 경험과 그 이유 설명하기,"Sometimes we want to change something in our home, maybe get new furniture or do some painting or decorating. Tell me about one change that you made in your home. Tell me why you decided to make that change and everything you had to do to make that change happen.","집안 분위기를 바꾸려고 가구를 새로 사거나, 벽을 칠하거나, 인테리어를 바꾼 적이 있으신가요? 그런 변화 중 기억에 남는 한 가지를 골라, 왜 그런 변화를 주게 됐고, 그 과정에서 어떤 일들이 있었는지 말씀해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_HOM_N6_08.wav,2025-10-01 14:59:06.104+00,Aoede
36,SEL_HOM_N6_09,선택형,일반,집,가족과의 특별한 집안 추억 자세히 설명하기,"Talk about a special memory you had with your family members at home. Maybe it was something funny, surprising, or important that happened. Tell me about that moment that stands out in your memory. Give me lots of details.","가족과 함께 집에서 특별한 추억이 있다면 이야기해 주세요. 재미있거나, 놀라웠거나, 의미 있었던 순간 등 기억에 남는 에피소드를 최대한 자세히 말씀해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_HOM_N6_09.wav,2025-10-01 14:59:19.934+00,Aoede
37,SEL_HOM_N6_10,선택형,일반,집,집에서 생긴 문제 해결 과정을 순서대로 설명하기,"Pick one of those problems you just mentioned and explain to me everything that happened. Start with when it happened and anything that may have caused the problem. Then, explain in detail everything you did to resolve the problem.","앞에서 언급한 집에서의 문제 중 한 가지를 골라, 그 일이 언제, 어떤 계기로 생겼고, 문제를 해결하기 위해 어떤 일을 했는지 자세히 이야기해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_HOM_N6_10.wav,2025-10-01 14:59:42.175+00,Aoede
38,SEL_VAC_N_C2_01,선택형,일반,집에서 보내는 휴가,집에서 휴가 보낼 때 함께하고 싶은 사람 말하기,You indicated in the survey that you stay at home for vacations. Who are the people you would like to see or spend time with on your vacation?,"설문에서 집에서 휴가를 보낸다고 하셨는데, 휴가 기간에 만나고 싶은 사람이나 함께 시간을 보내고 싶은 사람이 있다면 누구인지 말씀해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_VAC_N_C2_01.wav,2025-10-01 14:59:54.897+00,Aoede
39,SEL_VAC_N_C2_02,선택형,일반,집에서 보내는 휴가,휴가 중 하고 싶은 활동 설명하기,Describe some of the things that you would like to do with the people you visit or see during your vacation.,휴가 중에 만나고 싶은 사람과 무엇을 하고 싶은지도 구체적으로 이야기해 주세요.,description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_VAC_N_C2_02.wav,2025-10-01 15:00:04.812+00,Aoede
40,SEL_VAC_N_C2_03,선택형,일반,집에서 보내는 휴가,집에서 보낸 마지막 휴가의 일정 순서대로 설명하기,Describe exactly what you did during the last vacation that you spent at home. Give me a description from the first to the last day of all the people you saw and everything that you did.,가장 최근에 집에서 보낸 휴가에 대해 이야기해 주세요. 휴가 첫날부터 마지막 날까지 누구를 만나고 어떤 일을 했는지 차례대로 말씀해 주세요.,past_experience_recent,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_VAC_N_C2_03.wav,2025-10-01 15:00:16.693+00,Aoede
41,SEL_VAC_N_C2_04,선택형,일반,집에서 보내는 휴가,집에서의 예상 못한 특별한 경험 전체 설명하기,"Could you tell me about an unusual, unexpected, or satisfying experience you had while at home on vacation? Tell me all the details of that experience. What happened? Who was involved? And why was that experience so memorable?","집에서 휴가를 보내면서 특별하거나 예상치 못했던, 또는 만족스러웠던 경험이 있다면 자세히 말씀해 주세요. 어떤 일이 있었고, 누가 함께 했으며, 그 경험이 왜 인상 깊었는지도 이야기해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_VAC_N_C2_04.wav,2025-10-01 15:00:34.881+00,Aoede
42,SEL_OTR_N_C2_01,선택형,일반,해외여행,해외에서 가본 도시/국가 묘사하고 사람들 특징 말하기,You indicated in the survey that you take vacations internationally. Can you describe for me one of the countries or cities you've visited? What does it look like? And what are the people there like?,"해외 여행을 다녀온 적이 있다고 하셨는데, 다녀온 나라나 도시 중 한 곳을 골라서 그곳의 모습과 사람들은 어떤지 설명해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_OTR_N_C2_01.wav,2025-10-01 15:00:48.702+00,Aoede
43,SEL_OTR_N_C2_02,선택형,일반,해외여행,외국인이 자주 찾는 관광지 말하기,Tell me about a popular place tourists like to go to when traveling outside your country.,해외여행 시 관광객들이 많이 찾는 명소나 유명한 장소에 대해 이야기해 주세요.,description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_OTR_N_C2_02.wav,2025-10-01 15:00:57.792+00,Aoede
44,SEL_OTR_N_C2_03,선택형,일반,해외여행,외국 관광객이 일반적으로 하는 활동 말하기,Tell me about what tourists usually do when they visit another country. Where do they go? What do they do there?,"외국을 여행할 때 관광객들이 주로 무엇을 하고, 어디를 많이 가는지 말씀해 주세요.",routine,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_OTR_N_C2_03.wav,2025-10-01 15:01:16.996+00,Aoede
45,SEL_OTR_N_C2_03_1,선택형,일반,해외여행,최근 해외여행 경험 상세히 설명하기,"Tell me about your most recent overseas trip. What did you do, and why did you go there? Who did you go with? Please share all the details about the trip. ","가장 최근에 다녀온 해외 또는 국내 여행에 대해 말씀해 주세요. 어디로, 누구와, 어떤 목적으로 다녀오셨는지, 그리고 여행 중에 무엇을 했는지 등 여행에 관한 모든 세부 내용을 이야기해 주세요.",past_experience_recent,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_OTR_N_C2_03_1.wav,2025-10-01 15:01:36.512+00,Aoede
46,SEL_OTR_N_C2_04,선택형,일반,해외여행,해외여행 시 본인이 즐기는 활동 말하기,Can you tell me about the things you like to do when visiting another country?,"직접 해외여행을 갔을 때 주로 무엇을 하는지, 어떤 활동을 즐기는지 말씀해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_OTR_N_C2_04.wav,2025-10-01 15:01:41.277+00,Aoede
47,SEL_OTR_N_C2_05,선택형,일반,해외여행,첫 해외여행의 전체 일정과 경험 설명하기,Describe for me your first trip to another country. When was the trip? Where did you go? Who did you go with and what did you do? Describe that experience for me in as much detail as possible.,"처음으로 해외여행을 갔던 경험에 대해 말씀해 주세요. 언제, 어디로, 누구와 갔고, 어떤 일을 했는지 최대한 자세히 이야기해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_OTR_N_C2_05.wav,2025-10-01 15:02:30.488+00,Aoede
48,SEL_OTR_N_C2_05_1,선택형,일반,해외여행,여행 중 가장 기억에 남는 경험 설명하기,"What is the most memorable experience you’ve had while traveling? When and where did you go? What happened, and why was it unforgettable? Provide as much detail as possible. ","여행을 하면서 가장 기억에 남는 경험에 대해 말씀해 주세요. 언제, 어디로 여행을 갔는지, 그곳에서 어떤 일이 있었는지, 그리고 왜 그 경험이 잊지 못할 추억이 되었는지 구체적으로 이야기해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_OTR_N_C2_05_1.wav,2025-10-01 15:02:43.851+00,Aoede
